Issue Type,Summary,Description,Priority,Labels,Story Points,Fix Version,Component
Bug,"[A11Y] Ensure <meta name=""viewport""> does not disable text scaling and zooming","
h3. Problema
Ensure <meta name=""viewport""> does not disable text scaling and zooming

h3. Criterio WCAG
1.4.4

h3. Approccio Remediation
https://dequeuniversity.com/rules/axe/4.10/meta-viewport?application=webdriverjs

h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",Highest,"accessibility,wcag,critical",4,Accessibility Phase 1,Frontend
Bug,[A11Y] Ensure select element has an accessible name,"
h3. Problema
Ensure select element has an accessible name

h3. Criterio WCAG
4.1.2

h3. Approccio Remediation
https://dequeuniversity.com/rules/axe/4.10/select-name?application=webdriverjs

h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",Highest,"accessibility,wcag,critical",4,Accessibility Phase 1,Frontend
Bug,"[A11Y] This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 3:1, but text in this element has a contrast ratio of 1:1. Recommendation:  change text colour to #949494.","
h3. Problema
This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 3:1, but text in this element has a contrast ratio of 1:1. Recommendation:  change text colour to #949494.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,[A11Y] Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,"
h3. Problema
Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds

h3. Criterio WCAG
1.4.3

h3. Approccio Remediation
https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=webdriverjs

h3. Esempio Codice
{code}

/* PRIMA (Contrasto insufficiente) */
.text {
    color: #999999;
    background: #ffffff;
}

/* DOPO (Contrasto corretto 4.5:1) */
.text {
    color: #595959;
    background: #ffffff;
}

{code}

h3. Testing
Verificare contrasto con Color Contrast Analyzer (minimo 4.5:1)
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,"[A11Y] This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.18:1. Recommendation:  change text colour to #222.","
h3. Problema
This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.18:1. Recommendation:  change text colour to #222.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,"[A11Y] Anchor element found with a valid href attribute, but no link content has been supplied.","
h3. Problema
Anchor element found with a valid href attribute, but no link content has been supplied.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,"[A11Y] Duplicate id attribute value ""Livello_2"" found on the web page.","
h3. Problema
Duplicate id attribute value ""Livello_2"" found on the web page.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,"[A11Y] This form field should be labelled in some way. Use the label element (either with a ""for"" attribute or wrapped around the form field), or ""title"", ""aria-label"" or ""aria-labelledby"" attributes as appropriate.","
h3. Problema
This form field should be labelled in some way. Use the label element (either with a ""for"" attribute or wrapped around the form field), or ""title"", ""aria-label"" or ""aria-labelledby"" attributes as appropriate.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,[A11Y] Ensure links have discernible text,"
h3. Problema
Ensure links have discernible text

h3. Criterio WCAG
2.4.4

h3. Approccio Remediation
https://dequeuniversity.com/rules/axe/4.10/link-name?application=webdriverjs

h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
Bug,"[A11Y] This textinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.","
h3. Problema
This textinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.

h3. Criterio WCAG


h3. Approccio Remediation


h3. Esempio Codice
{code}
// Implementare fix appropriato secondo linee guida WCAG
{code}

h3. Testing
Testare con screen reader e navigazione da tastiera
",High,"accessibility,wcag,high",3,Accessibility Phase 2,Frontend
